run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-1.8318322,0.0022625446,0.0030461575
69a18ce4,20,-1.8118122,0.0023693135,0.0033888877
69a18ce4,20,-1.7917922,0.0025092806,0.003612503
69a18ce4,20,-1.771772,0.0026212009,0.0036710226
69a18ce4,20,-1.751752,0.0027562736,0.003975618
69a18ce4,20,-1.731732,0.0029308724,0.004107259
69a18ce4,20,-1.711712,0.0030746053,0.0042456547
69a18ce4,20,-1.691692,0.0032112373,0.0043596383
69a18ce4,20,-1.671672,0.0034044266,0.00449829
69a18ce4,20,-1.651652,0.0036392913,0.004787624
69a18ce4,20,-1.631632,0.0037994199,0.0052203224
69a18ce4,20,-1.611612,0.0039906795,0.005204455
69a18ce4,20,-1.591592,0.004212904,0.0053041335
